x0,deta,tier,T_over_R,authority,fallback_eta,n_arcs,g3_T_rel,g3_xend_rel
0.3,5.0,floor,4534486726.976958,[R(A3)/STOP-pending],,1,5.764756760049536e-13,1.583502099351227e-13
0.3,5.0,effective,13.576442317695426,[N],0.36620409622270317,3,8.068186464579683e-12,1.1248922017249153e-14
0.3,5.0,ceiling,12.891669595443602,[R],,1,6.459644967981219e-13,9.676957273813054e-14
0.3,8.0,floor,36743211098988.48,[R(A3)/STOP-pending],,1,1.4711476183824364e-12,8.162525486800415e-13
0.3,8.0,effective,21.076442413278098,[N],0.36620409622270317,3,2.240003346347537e-11,7.660391797294343e-14
0.3,8.0,ceiling,20.391669691026234,[R],,1,3.9548796999326415e-14,1.255334223765181e-14
0.3,12.0,floor,5.980133654701416e+18,[R(A3)/STOP-pending],,1,3.342994179450018e-12,3.024553463876828e-12
0.3,12.0,effective,31.076442413287964,[N],0.36620409622270317,3,1.2448839718545235e-11,1.6751155020316478e-11
0.3,12.0,ceiling,30.39166969103569,[R],,1,6.578997727850022e-13,7.1673503255547926e-12
0.5,0.1,floor,1170.4611706578426,[R(A3)/STOP-pending],,2,5.660539362460521e-12,6.4441706111049305e-15
0.5,0.1,effective,0.6391971377130715,[N],0.5364793041447001,1,4.1320907428231665e-13,8.991865968983624e-16
0.5,0.1,ceiling,0.5492090514561215,[R],,1,4.6090072431145884e-14,1.3487798953475435e-15
0.5,0.24,floor,2569.9064432930186,[R(A3)/STOP-pending],,2,6.676004918007953e-12,2.2808790530114283e-15
0.5,0.24,effective,1.3881015182130259,[N],0.5364793041447001,2,8.73396885590478e-13,3.0791867215654282e-15
0.5,0.24,ceiling,1.1150893854338142,[R],,1,5.641273013354774e-13,1.710659289758571e-15
0.5,0.5,floor,5676.6069223319355,[R(A3)/STOP-pending],,2,3.035939151812056e-11,2.3634453376726105e-15
0.5,0.5,effective,2.715927348759119,[N],0.5364793041447001,3,4.01048137571464e-12,2.8610127771826336e-15
0.5,0.5,ceiling,1.9421985955073016,[R],,1,4.087169378266614e-13,1.5051415045178203e-14
0.5,1.0,floor,20325.160519637113,[R(A3)/STOP-pending],,2,6.649975850832375e-11,3.623656652538272e-15
0.5,1.0,effective,4.1510874318922415,[N],0.5364793041447001,4,4.495359084593727e-13,1.1052152790241728e-13
0.5,1.0,ceiling,3.2910149337572867,[R],,1,4.0198594742715434e-13,2.5504967977480912e-14
0.5,2.0,floor,342399.9917793705,[R(A3)/STOP-pending],,2,8.072913165371403e-12,1.3821788629397728e-14
0.5,2.0,effective,6.67613819115092,[N],0.5364793041447001,4,1.3439340710264618e-11,1.2002211392109926e-13
0.5,2.0,ceiling,5.816065693015967,[R],,1,5.589230224833937e-13,1.3996747979136939e-15
0.5,3.0,floor,6753533.766528141,[R(A3)/STOP-pending],,2,2.3713545451510755e-12,5.886205402733434e-14
0.5,3.0,effective,9.177365930559647,[N],0.5364793041447001,4,2.1068257968701076e-11,8.082550702260836e-14
0.5,3.0,ceiling,8.317293432424671,[R],,1,4.873756517605085e-13,4.10716571011624e-14
0.5,5.0,floor,2720699103.257177,[R(A3)/STOP-pending],,2,2.5202780883604315e-13,3.582349011647038e-14
0.5,5.0,effective,14.177430049654022,[N],0.5364793041447001,4,2.0245117563976047e-12,5.0533618908257735e-14
0.5,5.0,ceiling,13.317357551519208,[R],,1,2.2635703402874705e-13,1.4173641741733932e-13
0.5,8.0,floor,22045926670049.004,[R(A3)/STOP-pending],,2,2.2697645351411656e-12,1.5928479480184101e-12
0.5,8.0,effective,21.6774302089585,[N],0.5364793041447001,4,4.92353371666322e-11,6.367968153281554e-14
0.5,8.0,ceiling,20.817357710823604,[R],,1,3.8808339741368223e-13,2.8416201974320914e-14
0.5,12.0,floor,3.588080192820873e+18,[R(A3)/STOP-pending],,2,2.2612827930195196e-12,2.7022768857112347e-12
0.5,12.0,effective,31.677430208975846,[N],0.5364793041447001,4,5.254214632500714e-11,1.335727833698529e-11
0.5,12.0,ceiling,30.817357710841197,[R],,1,4.362304090675443e-13,2.1552746566788038e-11
0.7,0.1,floor,6879.76155643762,[R(A3)/STOP-pending],,2,1.9393531542563476e-13,1.905419217237006e-14
0.7,0.1,effective,1.114240492768242,[N],0.6486367163517711,1,7.292331868677367e-10,5.352301172014062e-15
0.7,0.1,ceiling,1.112253146114354,[R],,1,3.070385582344642e-13,4.2818409376112495e-15
0.7,0.24,floor,8530.780223375454,[R(A3)/STOP-pending],,3,1.2544974757991355e-11,8.1459966178979575e-16
0.7,0.24,effective,1.999816422296663,[N],0.6486367163517711,2,8.045923044616041e-10,5.213437835454693e-15
0.7,0.24,ceiling,1.8703962789994282,[R],,1,8.393169802817232e-14,7.168477023750203e-15
0.7,0.5,floor,11255.129876829593,[R(A3)/STOP-pending],,3,1.4490657121290355e-11,4.4425664241966365e-15
0.7,0.5,effective,3.338108492560782,[N],0.6486367163517711,4,4.583123086404016e-10,3.731755796325175e-15
0.7,0.5,ceiling,2.8018597817928934,[R],,1,6.480983776836022e-13,5.153377052068099e-15
0.7,1.0,floor,22271.285892479485,[R(A3)/STOP-pending],,3,6.979533890498154e-11,5.176652360768959e-15
0.7,1.0,effective,5.0624618988225185,[N],0.6486367163517711,5,3.041805466530368e-10,8.52156619388121e-14
0.7,1.0,ceiling,4.1957503902431865,[R],,1,5.969523709939243e-12,2.906889402585646e-14
0.7,2.0,floor,253208.22810593754,[R(A3)/STOP-pending],,3,3.788639278923455e-11,5.236283395766409e-14
0.7,2.0,effective,7.5977700736356635,[N],0.6486367163517711,5,2.3609181855867356e-10,1.0647526141272029e-13
0.7,2.0,ceiling,6.731058565056341,[R],,1,3.5986021556564877e-12,6.62346109727016e-15
0.7,3.0,floor,4833445.359794676,[R(A3)/STOP-pending],,3,1.6106368897778305e-12,3.765163370618402e-15
0.7,3.0,effective,10.099489468829962,[N],0.6486367163517711,5,9.59302288973238e-11,6.432154091473103e-14
0.7,3.0,ceiling,9.232777960250605,[R],,1,2.6804720738516005e-12,3.1847006843147316e-14
0.7,5.0,floor,1943367704.0051332,[R(A3)/STOP-pending],,3,7.36712648128427e-13,5.451400669897667e-14
0.7,5.0,effective,15.09957923695056,[N],0.6486367163517711,5,1.2131243589947856e-10,1.903663725996011e-14
0.7,5.0,ceiling,14.232867728371085,[R],,1,1.9975307687240635e-12,2.13853132855396e-14
0.7,8.0,floor,15747090492371.506,[R(A3)/STOP-pending],,3,1.5503856100799768e-12,1.9969595982986625e-12
0.7,8.0,effective,22.59957945997677,[N],0.6486367163517711,5,1.2855434980763318e-10,1.07844621950736e-13
0.7,8.0,ceiling,21.732867951397285,[R],,1,3.8857275686736245e-13,1.9820423149902842e-13
0.7,12.0,floor,2.5629144234434975e+18,[R(A3)/STOP-pending],,3,9.30720424443617e-12,8.999492090416318e-12
0.7,12.0,effective,32.5995794600021,[N],0.6486367163517711,5,1.1918897864053028e-10,1.3743226794889907e-11
0.7,12.0,ceiling,31.732867951422595,[R],,1,3.1672608390493883e-13,1.3805021060179907e-11
