dest,dist_ly,maneuver,eta,delta_eta_total,mf_over_m0,t_earth_yr,tau_ship_yr,burn_t_earth_s,authority,g3_t_rel,g3_tau_rel,g3_dist_rel
Proxima Centauri,4.25,roundtrip,5.0,20.0,8.75651076269652e-27,8.500771833849361,0.11455029956893809,0.005210847746774326,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.9894679771372793e-16,0.0,1.9896486287522173e-16
Proxima Centauri,4.25,roundtrip,8.0,32.0,2.031092662734811e-42,8.500001913100409,0.005702865331693992,0.10466741493399903,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.9896481809408348e-16,0.0,1.9896486287522173e-16
Proxima Centauri,4.25,roundtrip,12.0,48.0,2.8946403116483003e-63,8.500000000643999,0.00010445163448846414,5.714647867031002,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.9896486286014724e-16,0.0,1.9896486287522173e-16
TRAPPIST-1,40.5,flyby,0.1,0.1,0.7408182206817179,406.34910085628667,404.32578667049256,1.7585279652267762e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.331821396627142e-16,0.0,0.0
TRAPPIST-1,40.5,flyby,0.24,0.24,0.4867522559599717,171.97762626021085,167.14082066956823,4.2540068911593785e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.57341521333061e-16,0.0,0.0
TRAPPIST-1,40.5,flyby,0.5,0.5,0.22313016014842982,87.64011325641559,77.72090742906538,9.148351794159287e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,3.0875383823228137e-16,0.0,0.0
TRAPPIST-1,40.5,flyby,1.0,1.0,0.049787068367863944,53.17792906272317,34.46218419369283,2.063183804387278e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.272107706522094e-16,0.0,1.6703223056191454e-16
TRAPPIST-1,40.5,flyby,2.0,2.0,0.0024787521766663585,42.01124618946612,11.16668287325791,6.367317949228902e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
TRAPPIST-1,40.5,flyby,3.0,3.0,0.00012340980408667956,40.701277844204924,4.042773571588486,0.00017587386241945985,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.66206215039529e-16,0.0,1.6703223056191454e-16
TRAPPIST-1,40.5,flyby,5.0,5.0,3.059023205018258e-07,40.50367756127233,0.5457984861410908,0.0013027119366935814,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
TRAPPIST-1,40.5,flyby,8.0,8.0,3.775134544279098e-11,40.500009115350736,0.027172475921857373,0.026166853733499758,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.6703219296791395e-16,0.0,0.0
TRAPPIST-1,40.5,flyby,12.0,12.0,2.3195228302435696e-16,40.50000000305842,0.0004976812067578585,1.4286619667577505,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,1.6703223056191454e-16
TRAPPIST-1,40.5,arrive,0.1,0.2,0.5488116360940264,406.34910085628667,404.32578667049256,3.5170559304535524e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.331821396627142e-16,0.0,1.6703223056191454e-16
TRAPPIST-1,40.5,arrive,0.24,0.48,0.23692775868212176,171.9776262602109,167.14082066956828,8.508013782318757e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.5734152133306095e-16,0.0,1.6703223056191454e-16
TRAPPIST-1,40.5,arrive,0.5,1.0,0.049787068367863944,87.64011325641573,77.7209074290655,1.8296703588318574e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,3.087538382322809e-16,0.0,1.6703223056191454e-16
TRAPPIST-1,40.5,arrive,1.0,2.0,0.0024787521766663585,53.177929062723436,34.462184193693126,4.126367608774556e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,1.6703223056191454e-16
TRAPPIST-1,40.5,arrive,2.0,4.0,6.14421235332821e-06,42.011246189466554,11.1666828732586,0.00012734635898457804,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.610236770232651e-16,0.0,0.0
TRAPPIST-1,40.5,arrive,3.0,6.0,1.522997974471263e-08,40.70127784420543,4.042773571589652,0.0003517477248389197,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,3.340644611238291e-16
TRAPPIST-1,40.5,arrive,5.0,10.0,9.357622968840175e-14,40.50367756127288,0.5457984861433235,0.002605423873387163,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.6701706474736578e-16,0.0,1.6703223056191454e-16
TRAPPIST-1,40.5,arrive,8.0,16.0,1.4251640827409352e-21,40.5000091153513,0.02717247592575196,0.052333707466999516,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,3.3406438593582327e-16,0.0,0.0
TRAPPIST-1,40.5,arrive,12.0,24.0,5.380186160021138e-32,40.50000000305897,0.0004976812128773438,2.857323933515501,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
TRAPPIST-1,40.5,roundtrip,0.1,0.4,0.301194211912202,812.6982017125733,808.6515733409851,7.034111860907105e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.331821396627142e-16,0.0,1.6703223056191454e-16
TRAPPIST-1,40.5,roundtrip,0.24,0.96,0.056134762834133725,343.9552525204218,334.28164133913657,1.7016027564637514e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.5734152133306095e-16,0.0,1.6703223056191454e-16
TRAPPIST-1,40.5,roundtrip,0.5,2.0,0.0024787521766663585,175.28022651283146,155.441814858131,3.659340717663715e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,3.087538382322809e-16,0.0,1.6703223056191454e-16
TRAPPIST-1,40.5,roundtrip,1.0,4.0,6.14421235332821e-06,106.35585812544687,68.92436838738625,8.252735217549113e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,1.6703223056191454e-16
