R_m,x0,shell_mass_kg,shell_mass_Mearth,shell_mass_Msun,lambda_eff,L_peak_W,L_peak_Lsun,burn_u_seconds_per_unit_rapidity,authority
100.0,0.3,2.0198863822501633e+28,3382.165764837911,0.010158299914630286,0.19,3.102157943271644e+51,8.10386087584024e+24,1.7556005010429054e-06,"質量[R]×換算[R] / L: x₀,λ[N]併課[R] / 換算[R]"
100.0,0.5,3.366477303750272e+28,5636.942941396518,0.016930499857717142,0.14,3.809667649631845e+51,9.952109847523106e+24,2.3826006799868e-06,"質量[R]×換算[R] / L: x₀,λ[N]併課[R] / 換算[R]"
100.0,0.7,4.713068225250381e+28,7891.720117955126,0.023702699800803997,0.050000000000000044,1.9048338248159235e+51,4.976054923761556e+24,6.671281903963035e-06,"質量[R]×換算[R] / L: x₀,λ[N]併課[R] / 換算[R]"
1000.0,0.3,2.0198863822501633e+29,33821.657648379114,0.10158299914630285,0.19,3.102157943271644e+51,8.10386087584024e+24,1.7556005010429052e-05,"質量[R]×換算[R] / L: x₀,λ[N]併課[R] / 換算[R]"
1000.0,0.5,3.366477303750272e+29,56369.42941396518,0.1693049985771714,0.14,3.809667649631845e+51,9.952109847523106e+24,2.3826006799868003e-05,"質量[R]×換算[R] / L: x₀,λ[N]併課[R] / 換算[R]"
1000.0,0.7,4.713068225250381e+29,78917.20117955127,0.23702699800804,0.050000000000000044,1.9048338248159235e+51,4.976054923761556e+24,6.671281903963036e-05,"質量[R]×換算[R] / L: x₀,λ[N]併課[R] / 換算[R]"
10000.0,0.3,2.0198863822501634e+30,338216.5764837911,1.0158299914630287,0.19,3.102157943271644e+51,8.10386087584024e+24,0.00017556005010429054,"質量[R]×換算[R] / L: x₀,λ[N]併課[R] / 換算[R]"
10000.0,0.5,3.366477303750272e+30,563694.2941396518,1.693049985771714,0.14,3.809667649631845e+51,9.952109847523106e+24,0.00023826006799868,"質量[R]×換算[R] / L: x₀,λ[N]併課[R] / 換算[R]"
10000.0,0.7,4.713068225250381e+30,789172.0117955126,2.3702699800804,0.050000000000000044,1.9048338248159235e+51,4.976054923761556e+24,0.0006671281903963036,"質量[R]×換算[R] / L: x₀,λ[N]併課[R] / 換算[R]"
