profile,kind,angle,F_peak_geo,t_peak_R,t_span_R,c15_rel,g3_map_rel
mission_m31_roundtrip_eta1.0,mission,depart,0.09071831756238036,0.0,6.310514652045455e+19,8.881838768904737e-16,0.0
mission_m31_roundtrip_eta12.0,mission,dest,14764.840852748175,1814348950.7261624,4.806051080433911e+19,0.0,0.0
mission_m31_roundtrip_eta12.0,mission,side,0.04535915878119018,0.0,4.8060510804339106e+19,0.0,1.7045178802511587e-16
mission_m31_roundtrip_eta12.0,mission,depart,0.09071831756238036,0.0,4.806051080433912e+19,0.0,0.0
mission_m31_roundtrip_eta2.0,mission,dest,0.6703227376690338,8.9668226927591e+17,4.985387533926228e+19,6.661338148002414e-16,1.64320224741855e-16
mission_m31_roundtrip_eta2.0,mission,side,0.04535915878119018,0.0,4.985387533926228e+19,6.661338148002414e-16,0.0
mission_m31_roundtrip_eta2.0,mission,depart,0.09071831756238036,0.0,4.985387533926228e+19,6.661338148002414e-16,1.64320224741855e-16
mission_m31_roundtrip_eta3.0,mission,dest,1.822126117008655,1.1942612352259054e+17,4.8299363047755645e+19,4.440892098500627e-16,0.0
mission_m31_roundtrip_eta3.0,mission,side,0.04535915878119018,0.0,4.8299363047755645e+19,4.440892098500627e-16,0.0
mission_m31_roundtrip_eta3.0,mission,depart,0.09071831756238036,0.0,4.8299363047755645e+19,4.440892098500627e-16,0.0
mission_m31_roundtrip_eta5.0,mission,dest,13.463792097903623,2182042879294863.8,4.806487488646906e+19,2.220446049250313e-16,0.0
mission_m31_roundtrip_eta5.0,mission,side,0.04535915878119018,0.0,4.806487488646906e+19,2.220446049250313e-16,0.0
mission_m31_roundtrip_eta5.0,mission,depart,0.09071831756238036,0.0,4.806487488646906e+19,2.220446049250313e-16,0.0
mission_m31_roundtrip_eta8.0,mission,dest,270.42749330856554,5408498588706.383,4.806052161770762e+19,0.0,0.0
mission_m31_roundtrip_eta8.0,mission,side,0.04535915878119018,0.0,4.806052161770762e+19,0.0,1.7045174967434613e-16
mission_m31_roundtrip_eta8.0,mission,depart,0.09071831756238036,0.0,4.806052161770763e+19,0.0,0.0
mission_proxima_arrive_eta0.1,mission,dest,0.10025924630669401,363212318063179.44,363212318063179.94,2.460664133741986e-16,0.0
mission_proxima_arrive_eta0.1,mission,side,0.04535915878119018,0.0,403420422571648.3,2.460664133741986e-16,3.0985045130629135e-16
mission_proxima_arrive_eta0.1,mission,depart,0.09071831756238036,0.0,443628527080116.7,2.460664133741986e-16,0.0
mission_proxima_arrive_eta0.24,mission,dest,0.11532558411976335,130530028078911.36,130530028078912.61,1.4549382935326348e-16,1.197042567902753e-16
mission_proxima_arrive_eta0.24,mission,side,0.04535915878119018,0.0,170738132587380.84,1.4549382935326348e-16,0.0
mission_proxima_arrive_eta0.24,mission,depart,0.09071831756238036,0.0,210946237095849.12,1.4549382935326348e-16,0.0
mission_proxima_arrive_eta0.5,mission,dest,0.14956921980722548,46800360502592.81,46800360502594.914,9.347151466088164e-16,0.0
mission_proxima_arrive_eta0.5,mission,side,0.04535915878119018,0.0,87008465011063.17,9.347151466088164e-16,0.0
mission_proxima_arrive_eta0.5,mission,depart,0.09071831756238036,0.0,127216569519531.6,9.347151466088164e-16,1.2282205108196296e-16
mission_proxima_arrive_eta1.0,mission,dest,0.24659795413819555,12586555474196.893,12586555474200.223,4.4519273230429795e-16,0.0
mission_proxima_arrive_eta1.0,mission,side,0.04535915878119018,0.0,52794659982668.664,4.4519273230429795e-16,0.0
mission_proxima_arrive_eta1.0,mission,depart,0.09071831756238036,0.0,93002764491137.02,4.4519273230429795e-16,0.0
mission_proxima_arrive_eta12.0,mission,dest,14764.840852748175,3041.083146794322,3046.346272345064,0.0,5.971052667448754e-16
mission_proxima_arrive_eta12.0,mission,side,0.04535915878119018,0.0,40208104511514.78,0.0,1.943016238868624e-16
mission_proxima_arrive_eta12.0,mission,depart,0.09071831756238036,0.0,80416209019983.17,0.0,0.0
mission_proxima_arrive_eta2.0,mission,dest,0.6703227376690338,1500354190721.0317,1500354190725.5806,3.330689538339276e-16,1.627219935860159e-16
mission_proxima_arrive_eta2.0,mission,side,0.04535915878119018,0.0,41708458699193.95,3.330689538339276e-16,0.0
mission_proxima_arrive_eta2.0,mission,depart,0.09071831756238036,0.0,81916563207662.4,3.330689538339276e-16,1.9074286552268895e-16
mission_proxima_arrive_eta3.0,mission,dest,1.822126117008655,199827175189.96368,199827175194.96487,1.110223041533831e-16,0.0
mission_proxima_arrive_eta3.0,mission,side,0.04535915878119018,0.0,40407931683663.336,1.110223041533831e-16,0.0
mission_proxima_arrive_eta3.0,mission,depart,0.09071831756238036,0.0,80616036192131.73,1.110223041533831e-16,0.0
mission_proxima_arrive_eta5.0,mission,dest,13.463792097903623,3651056003.977856,3651056009.205559,2.220446049250521e-16,1.3060253170612988e-16
mission_proxima_arrive_eta5.0,mission,side,0.04535915878119018,0.0,40211755564477.62,2.220446049250521e-16,0.0
mission_proxima_arrive_eta5.0,mission,depart,0.09071831756238036,0.0,80419860072945.95,2.220446049250521e-16,0.0
mission_proxima_arrive_eta8.0,mission,dest,270.42749330856554,9049658.408249227,9049663.669641146,0.0,4.1164958549333977e-16
mission_proxima_arrive_eta8.0,mission,side,0.04535915878119018,0.0,40208113558132.07,0.0,1.9430158017000343e-16
